ID,CODIGO,PAIS,ALIMENTO,TIPO,CEPA,PARTE,PROCESO,GRADO,MENSAJE,GENERO,ESPECIE,VARIEDAD,NOMBRE_ALT,NOMBRE_COMERCIAL,REFERENCIA,NOMBRE_CORTO,WATER,PROCNT,XN,FAT,ASH,FIBTG,CHOCDF,CHOAVL,ENERC,ENERC_KJ,FASAT,FAMS,FAPU,CHOLE,NA,K,CA,P,FE,ZN,VITA,CARTBEQ,THIA,RIBF,NIA,VITC
2628,C624,México,Zarzamora,,,fruto,cruda,fresca,,Rubus,spp.,,,,,"Zarzamora, cruda","85,6","0,7","6,25","0,6","0,5",,"12,6",,,,"0,02","0,05","0,21",0,0,196,32,21,"0,5","0,27",39,,"0,03","0,04","0,4",21
2629,D001,Perú,Aceite,compuesto,70% vegetal - 30% marino,,,,,,,,,,,"Aceite, compuesto, vegetal-marino",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2630,D002,México,Aceite,de ajonjolí,,,,,,Sesamum,spp.,,,,,"Aceite, de ajonjolí",0,0,,100,0,0,0,0,900,"3765,6","9,1","39,3","41,3",0,0,0,0,0,0,0,0,,0,0,0,0
2631,D003,México,Aceite,de algodón,,,,,,Gossypium,spp.,,,,,"Aceite, de algodón",0,0,,100,0,0,0,0,900,"3765,6","25,9","17,8","51,8",0,0,0,0,0,0,0,0,,0,0,0,0
2632,D004,Perú,Aceite,de algodón,,,,,,,,,,,,"Aceite, de algodón",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2633,D005,Uruguay,Aceite,de arroz,,,,,,Oryza,sativa,,,,,"Aceite, de arroz",0,0,"6,25",100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2634,D006,México,Aceite,de cacahuate,,,,,,Arachis,hipogaea,,,,,"Aceite, de cacahuate",0,0,,100,0,0,0,0,900,"3765,6","16,9","44,8",32,0,0,0,0,0,0,0,0,,0,0,0,0
2635,D007,Argentina,Aceite,de canola,,,,,,,,,,,G,"Aceite, de canola ",0,0,,100,0,0,0,0,900,"3765,6","6,1",55,"33,9",,,,,,,,,,,,,
2636,D008,México,Aceite,de cártamo,,,,,,Carthamus,tinctorius,,,,,"Aceite, de cártamo",0,0,,100,0,0,0,0,900,"3765,6","7,6","43,7","44,3",0,0,0,0,0,0,0,0,,0,0,0,0
2637,D009,México,Aceite,de coco,,,,,,Cocos,nucifera,,,,,"Aceite, de coco",0,0,,100,0,0,0,0,900,"3765,6","86,5","5,8","1,8",0,0,0,0,0,0,0,0,,0,0,0,0
2638,D010,Argentina,Aceite,de girasol,,,,,,,,,,Familiar,G,"Aceite, de girasol",0,0,,100,0,0,0,0,900,"3765,6","10,9",23,"61,7",,,,,,,,,,,,,
2639,D011,Argentina,Aceite,de girasol,,,,,,,,,,Ideal,,"Aceite, de girasol",0,0,,100,0,0,0,0,900,"3765,6",11,27,62,,,,,,,,,,,,,
2640,D012,Argentina,Aceite,de girasol,,,,,,,,,,Natura,G,"Aceite, de girasol",0,0,,100,0,0,0,0,900,"3765,6","9,9","24,8","60,9",,,,,,,,,,,,,
2641,D013,México,Aceite,de girasol,,,,,,Helianthus,annus,,,,,"Aceite, de girasol",0,0,,100,0,0,0,0,900,"3765,6","10,2","32,4","52,7",0,0,0,0,0,0,0,0,,0,0,0,0
2642,D014,Perú,Aceite,de girasol,,,,,,,,,,,,"Aceite, de girasol",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
