name,waterPercentage,caloriesKcal,proteinG,totalFatG,carbohydratesG,dietaryFiberG,calciumMg,phosphorusMg,ironMg,thiamineMg,riboflavinMg,niacinMg,vitaminCmg,vitaminAEquivRetinolMcg,monounsaturatedFatG,polyunsaturatedFatG,saturatedFatG,cholesterolMg,potassiumMg,sodiumMg,zincMg,magnesiumMg,vitaminB6Mg,vitaminB12Mcg,folicAcidMcg,folateEquivFDMcg,edibleFractionPercentage,categoryId
Guarapo,93.4,42,0.1,0.0,6.0,0.0,25.0,30.0,1.2,0.01,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Jamaica Rosa Flores Secas Para Bebida,9.2,304,7.2,2.6,74.1,0.0,659.0,273.0,9.0,0.12,0.28,3.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Leche De Soya Polvo (Atomizada),3.4,512,37.9,30.0,22.6,0.0,329.0,7.0,5.9,0.91,0.26,1.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artf. S/Vit C Empacado,88.1,43,0.0,0.0,11.6,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Frutas Polvo,1.4,382,0.0,0.1,97.7,0.0,142.0,0.0,0.5,0.0,0.02,0.01,122.0,0.0,0.01,0.01,0.06,0.0,5.0,42.0,0.11,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Frutas Preparado,90.35,37,0.0,0.01,9.47,0.0,18.0,0.0,0.01,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.01,0.0,1.0,3.0,0.01,1.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Limón Polvo,0.6,389,0.1,0.0,94.44,0.0,83.0,9.0,0.11,0.0,0.01,0.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,139.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Limón Preparado,89.1,42,0.0,0.0,10.8,0.0,11.0,1.0,0.02,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.02,0.0,1.0,7.0,0.03,1.0,0.0,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Naranja Polvo,0.14,386,0.0,0.0,98.94,0.4,385.0,151.0,0.02,0.0,0.68,8.0,231.0,600.0,0.0,0.0,0.0,0.0,190.0,17.0,0.01,0.0,0.8,0.0,0.0,0.0,1.0,9
Refresco Artif. C/Vit C Sabor Naranja Preparado,87.15,49,0.0,0.0,12.65,0.1,51.0,19.0,0.01,0.0,0.09,1.02,30.0,77.0,0.0,0.0,0.0,0.0,24.0,4.0,0.01,1.0,0.1,0.0,0.0,0.0,1.0,9
Refresco Concentrado C/Azúcar,35.1,231,0.3,0.0,64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco De Avena Fortificada Polvo Instantáneo,3.18,407,5.59,4.95,83.93,0.0,648.0,153.0,18.1,2.0,1.33,16.67,0.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Refresco De Carao,89.6,39,0.6,0.2,9.1,0.0,4.0,11.0,0.2,0.02,0.01,0.96,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
