name,waterPercentage,caloriesKcal,proteinG,totalFatG,carbohydratesG,dietaryFiberG,calciumMg,phosphorusMg,ironMg,thiamineMg,riboflavinMg,niacinMg,vitaminCmg,vitaminAEquivRetinolMcg,monounsaturatedFatG,polyunsaturatedFatG,saturatedFatG,cholesterolMg,potassiumMg,sodiumMg,zincMg,magnesiumMg,vitaminB6Mg,vitaminB12Mcg,folicAcidMcg,folateEquivFDMcg,edibleFractionPercentage,categoryId
Comida-Bebe Puré Procesado Veg. Fideos Y Pavo,90.3,44,1.2,1.2,6.8,1.1,32.0,25.0,0.19,0.02,0.04,0.25,1.0,50.0,0.0,0.0,0.0,0.0,63.0,21.0,0.27,8.0,0.02,0.1,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Veg. Fideos Y Pollo,87.2,63,2.0,2.5,7.9,1.1,28.0,31.0,0.35,0.03,0.05,0.41,1.0,71.0,0.0,0.0,0.0,0.0,55.0,20.0,0.25,10.0,0.02,0.08,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Vegetales Mixtos,88.7,41,1.2,0.1,9.5,0.0,22.0,24.0,0.33,0.01,0.03,0.5,3.0,136.0,0.0,0.0,0.0,0.0,121.0,8.0,0.16,11.0,0.08,0.0,0.0,8.0,1.0,11
Comida-Bebe Puré Procesado Zanahoria,92.3,27,0.8,0.1,6.0,1.7,22.0,20.0,0.37,0.02,0.04,0.46,6.0,573.0,0.0,0.05,0.02,0.0,196.0,37.0,0.15,9.0,0.07,0.0,0.0,15.0,1.0,11
Comida-Bebe Puré Procesado Cereal Avena Manzana Y Banano,82.2,73,1.3,0.7,15.4,0.8,9.0,41.0,5.65,0.42,0.37,5.04,22.0,2.0,0.22,0.25,0.13,0.0,47.0,2.0,0.35,11.0,0.2,0.0,0.0,4.0,1.0,11
Comida-Bebe Puré Procesado Comida Sopa Pollo P2,89.1,50,1.6,1.7,7.2,1.1,37.0,24.0,0.27,0.02,0.03,0.29,1.0,69.0,0.43,0.9,0.28,4.0,66.0,16.0,0.22,5.0,0.04,0.12,0.0,5.0,1.0,11
Comida-Bebe Puré Procesado Fruta Mango P2,77.7,80,0.3,0.2,21.6,1.0,4.0,6.0,0.1,0.02,0.03,0.25,124.0,165.0,0.07,0.04,0.05,0.0,59.0,4.0,0.06,4.0,0.12,0.0,0.0,12.0,1.0,11
Comida-Bebe Puré Procesado Fruta Manzana Y Piña P2,89.5,37,0.1,0.1,10.1,1.5,4.0,6.0,0.1,0.02,0.03,0.08,28.0,0.0,0.01,0.03,0.01,0.0,78.0,2.0,0.02,3.0,0.04,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Fruta Albaricoque P2,83.1,60,0.3,0.0,16.3,1.5,9.0,10.0,0.3,0.01,0.01,0.19,22.0,36.0,0.0,0.0,0.0,0.0,121.0,8.0,0.05,4.0,0.03,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Fruta Banano Y Piña P2,81.7,65,0.2,0.0,17.8,1.6,7.0,5.0,0.23,0.02,0.02,0.17,19.0,3.0,0.0,0.06,0.0,0.0,68.0,6.0,0.04,6.0,0.08,0.0,0.0,18.0,1.0,11
Comida-Bebe Puré Procesado Fruta Banano P1,81.5,67,0.4,0.2,17.8,1.6,8.0,9.0,0.3,0.01,0.02,0.22,26.0,2.0,0.02,0.04,0.08,0.0,108.0,9.0,0.07,12.0,0.14,0.0,0.0,6.0,1.0,11
Comida-Bebe Puré Procesado Fruta Ciruela P2,80.3,69,0.6,0.1,18.5,2.7,15.0,15.0,0.35,0.02,0.08,0.52,1.0,23.0,0.07,0.02,0.01,0.0,177.0,5.0,0.09,10.0,0.08,0.0,0.0,1.0,1.0,11
Comida-Bebe Puré Procesado Fruta Guayaba Y Papaya P2,82.5,63,0.2,0.1,17.0,0.0,7.0,6.0,0.2,0.01,0.02,0.26,81.0,9.0,0.0,0.0,0.0,0.0,74.0,4.0,0.06,5.0,0.01,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Fruta Manzana P1,89.5,37,0.0,0.0,10.3,1.7,5.0,6.0,0.22,0.01,0.03,0.06,38.0,0.0,0.0,0.0,0.0,0.0,77.0,2.0,0.04,3.0,0.03,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Fruta Manzana P3,87.5,51,0.2,0.1,12.1,0.9,10.0,13.0,0.2,0.01,0.02,0.08,31.0,2.0,0.0,0.03,0.02,0.0,50.0,13.0,0.04,6.0,0.05,0.0,0.0,1.0,1.0,11
Comida-Bebe Puré Procesado Fruta Melocotón P3,87.4,51,0.5,0.2,11.8,0.8,6.0,17.0,0.2,0.01,0.02,0.47,31.0,7.0,0.05,0.08,0.02,0.0,83.0,5.0,0.12,8.0,0.04,0.0,0.0,5.0,1.0,11
Comida-Bebe Puré Procesado Fruta Papaya Y Manzana P2,80.6,70,0.2,0.1,18.9,1.4,7.0,5.0,0.44,0.01,0.03,0.11,113.0,4.0,0.0,0.0,0.0,0.0,79.0,5.0,0.03,5.0,0.02,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Fruta Peras P1,87.8,43,0.3,0.1,11.6,3.6,8.0,12.0,0.25,0.01,0.03,0.19,22.0,1.0,0.02,0.02,0.01,0.0,115.0,2.0,0.08,9.0,0.01,0.0,0.0,4.0,1.0,11
Comida-Bebe Puré Procesado Fruta Peras P3,85.6,57,0.3,0.1,13.6,1.2,10.0,13.0,0.2,0.01,0.02,0.13,31.0,1.0,0.04,0.05,0.01,0.0,51.0,6.0,0.09,7.0,0.04,0.0,0.0,1.0,1.0,11
Comida-Bebe Puré Procesado Frutas Mixtas C/Yogurt P2,81.8,75,0.8,0.8,16.23,0.4,28.0,22.0,0.2,0.02,0.05,0.14,12.0,5.0,0.22,0.02,0.52,0.0,62.0,16.0,0.11,4.0,0.04,0.0,0.0,2.0,1.0,11
Comida-Bebe Puré Procesado Postre Frutas P2,83.4,59,0.3,0.0,16.0,0.6,9.0,7.0,0.22,0.02,0.01,0.14,3.0,7.0,0.0,0.0,0.0,0.0,94.0,14.0,0.04,5.0,0.04,0.0,0.0,3.0,1.0,11
Comida-Bebe Puré Procesado Postre Manzana Yogurt,77.9,96,0.8,1.6,19.5,0.5,6.0,31.0,0.0,1.56,0.05,0.0,35.0,3.0,0.44,0.04,1.03,6.0,70.0,20.0,0.28,15.0,0.02,0.5,0.0,9.0,1.0,11
Comida-Bebe Puré Procesado Postre Manzana P2,79.5,75,0.2,0.4,19.74,1.4,5.0,3.0,0.2,0.01,0.01,0.05,21.0,2.0,0.08,0.01,0.19,0.0,33.0,16.0,0.01,2.0,0.01,0.0,0.0,1.0,1.0,11
Comida-Bebe Puré Procesado Verdura Ayote P1,92.8,24,0.8,0.2,5.6,2.1,24.0,16.0,0.35,0.01,0.06,0.38,8.0,101.0,0.01,0.08,0.04,0.0,185.0,1.0,0.08,12.0,0.07,0.0,0.0,15.0,1.0,11
Comida-Bebe Puré Procesado Verdura Ayote P2,92.7,24,0.8,0.2,5.6,2.1,24.0,15.0,0.3,0.01,0.06,0.35,8.0,101.0,0.01,0.08,0.04,0.0,179.0,2.0,0.14,12.0,0.06,0.0,0.0,15.0,1.0,11
Comida-Bebe Puré Procesado Verdura Zanahoria P1,91.0,32,0.8,0.2,7.2,1.7,23.0,20.0,0.39,0.02,0.04,0.5,6.0,591.0,0.01,0.09,0.04,0.0,202.0,49.0,0.18,11.0,0.08,0.0,0.0,17.0,1.0,11
Fórmula Infantil Enfamil Premium 1 Soya Con Hierro,3.0,510,12.5,27.0,54.3,0.0,530.0,420.0,9.0,0.4,0.45,5.0,60.0,450.0,10.32,5.2,11.5,0.0,600.0,180.0,6.0,55.0,0.3,1.5,80.0,136.0,1.0,11
Fórmula Infantil Enfamil Premium 1 Soya Con Hierro (Dha Y Ara),3.0,480,15.6,21.0,57.1,0.0,920.0,620.0,9.5,0.38,0.43,4.7,57.0,430.0,7.8,4.2,8.9,0.0,570.0,171.0,6.0,52.0,0.28,1.42,76.0,129.0,1.0,11
Fórmula Infantil Enfamil Premium 1 Con Hierro,3.3,520,10.8,27.0,56.2,0.0,400.0,270.0,9.3,0.41,0.72,5.2,62.0,470.0,10.3,5.2,11.5,17.0,560.0,139.0,5.2,41.0,0.31,1.55,83.0,141.0,1.0,11
Fórmula Infantil Enfamil Premium 1 Con Hierro (Dha Y Ara),3.3,511,10.8,27.0,56.2,0.0,400.0,270.0,9.3,0.41,0.72,5.2,62.0,470.0,10.63,5.3,11.5,17.0,560.0,139.0,5.2,41.0,0.31,1.55,83.0,141.0,1.0,11
Fórmula Infantil Enfamil Premium 2 Soya Con Hierro,3.0,480,15.6,21.0,57.1,0.0,920.0,620.0,9.5,0.38,0.43,4.7,57.0,430.0,7.8,4.2,8.9,0.0,570.0,171.0,5.7,52.0,0.28,1.42,76.0,129.0,1.0,11
Fórmula Infantil Enfamil Premium 2 Soya Con Hierro (Dha Y Ara),3.0,470,15.6,25.0,53.1,0.0,920.0,620.0,9.5,0.38,0.43,4.7,57.0,430.0,7.8,4.2,8.9,0.0,570.0,171.0,5.7,52.0,0.28,1.42,76.0,129.0,1.0,11
Fórmula Infantil Enfamil Sin Lactosa Con Hierro,2.2,521,10.9,28.0,56.3,0.0,430.0,290.0,9.4,0.42,0.13,5.2,62.0,470.0,10.4,5.5,11.9,8.0,580.0,156.0,5.2,42.0,0.31,1.56,83.0,141.0,1.0,11
Fórmula Infantil Enfamil Sin Lactosa Con Hierro (Dha Y Ara),2.2,521,10.9,28.0,56.3,0.0,430.0,290.0,9.4,0.42,0.73,5.2,62.0,470.0,10.4,5.5,11.9,7.0,570.0,156.0,5.2,42.0,0.31,1.56,83.0,141.0,1.0,11
Fórmula Infantil Isomil Con Hierro,2.5,517,13.7,28.1,52.5,0.0,532.0,380.0,7.8,0.49,0.46,5.3,53.0,600.0,0.0,0.0,0.0,0.0,578.0,243.0,6.0,41.0,0.3,2.3,100.0,0.0,1.0,11
Fórmula Infantil Nan 1,3.0,509,9.5,27.7,57.9,0.0,320.0,160.0,6.2,0.36,0.78,5.2,51.0,540.0,0.0,0.0,0.0,0.0,460.0,120.0,3.9,35.0,0.38,1.5,47.0,0.0,1.0,11
Fórmula Infantil Nan 2 Bifidus,3.0,482,15.9,21.2,56.8,0.0,550.0,395.0,8.2,0.72,1.2,13.0,48.0,580.0,0.0,0.0,0.0,0.0,650.0,205.0,5.8,43.0,0.96,0.9,140.0,0.0,1.0,11
Fórmula Infantil Nan Sin Lactosa,3.0,502,12.6,25.0,56.8,0.0,420.0,245.0,3.0,0.35,0.75,5.0,50.0,530.0,0.0,0.0,0.0,0.0,600.0,170.0,4.0,50.0,0.38,1.5,45.0,0.0,1.0,11
Fórmula Infantil Nan Soya,3.0,502,14.0,25.0,55.3,0.0,450.0,320.0,6.0,0.35,0.75,5.0,80.0,530.0,0.0,0.0,0.0,0.0,600.0,170.0,6.0,50.0,0.38,1.5,45.0,0.0,1.0,11
Fórmula Infantil Nursoy,2.0,515,14.0,27.0,54.0,0.05,508.0,379.0,9.1,0.75,1.14,4.5,68.0,568.0,0.0,0.0,0.0,0.0,545.0,144.0,4.5,51.0,0.46,1.5,61.0,0.0,1.0,11
Fórmula Infantil Promil Gold Etapa 2,2.0,477,16.0,20.0,59.0,0.0,821.0,464.0,7.1,0.71,1.07,3.5,64.0,536.0,0.0,0.0,0.0,0.0,714.0,250.0,3.6,61.0,0.43,1.4,57.0,0.0,1.0,11
Fórmula Infantil Similac Advance 1 Baja En Hierro,3.3,511,10.8,27.0,56.2,0.0,400.0,270.0,9.3,0.41,0.72,5.2,62.0,470.0,10.63,5.3,11.5,17.0,560.0,139.0,5.2,41.0,0.31,1.55,83.0,141.0,1.0,11
Fórmula Infantil Similac Advance 1 Con Hierro,2.3,526,10.9,28.9,55.5,0.0,410.0,221.0,9.5,0.52,0.79,5.5,47.0,473.0,0.0,0.0,0.0,0.0,552.0,126.0,3.94,32.0,0.32,1.31,79.0,0.0,1.0,11
Fórmula Infantil Similac Advance 1 Sin Lactosa (Lf),2.0,513,11.0,27.7,54.9,0.0,433.0,273.0,9.11,0.49,0.34,5.3,42.0,456.0,0.0,0.0,0.0,0.0,547.0,152.0,3.8,31.0,0.31,1.14,76.0,0.0,1.0,11
Aderezo Ensalada  Aceite Y Vinagre,47.4,449,0.0,50.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,24.1,9.1,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Francés C/Sal,36.56,457,0.77,44.81,15.58,0.0,24.0,19.0,0.8,0.02,0.05,0.19,0.0,23.0,8.43,21.03,5.65,0.0,67.0,836.0,0.29,5.0,0.0,0.14,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Francés S/Sal,36.56,459,0.77,44.81,15.58,0.0,24.0,19.0,0.8,0.02,0.05,0.19,0.0,23.0,8.43,21.03,5.65,0.0,67.0,0.0,0.29,5.0,0.0,0.0,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Francés No Comercial,24.2,631,0.1,70.2,3.4,0.0,6.0,3.0,0.2,0.01,0.02,0.13,1.0,26.0,20.7,33.7,12.6,0.0,24.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Italiano C/Sal,56.4,291,0.38,28.37,10.43,0.0,7.0,9.0,0.63,0.01,0.02,0.0,0.0,2.0,6.32,12.94,4.47,0.0,48.0,1654.0,0.13,3.0,0.06,0.0,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Italiano C/Sal S/Grasa,85.95,47,0.97,0.87,8.75,0.6,30.0,109.0,0.4,0.03,0.05,0.14,0.0,4.0,0.23,0.19,0.29,2.0,102.0,1129.0,0.36,5.0,0.0,0.31,0.0,12.0,1.0,12
Aderezo Ensalada  Tipo Italiano S/Sal,56.4,292,0.38,28.37,10.43,0.0,7.0,9.0,0.63,0.01,0.02,0.0,0.0,2.0,6.32,12.94,4.47,67.0,48.0,30.0,0.13,3.0,0.06,0.0,0.0,0.0,1.0,12
Aderezo Ensalada  Tipo Ranchero,38.18,484,1.03,51.39,6.69,0.7,31.0,161.0,0.62,0.1,0.05,0.01,3.0,10.0,0.0,0.0,0.0,33.0,62.0,816.0,0.4,5.0,0.02,0.33,0.0,4.0,1.0,12
Caldo De Frijol,92.5,22,1.9,0.1,3.5,0.0,12.0,15.0,0.1,0.14,0.04,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Caldo De Pollo  Condensado Enlatado,91.96,31,4.42,1.04,0.75,0.0,6.0,60.0,0.41,0.01,0.05,2.23,0.0,0.0,0.47,0.22,0.31,1.0,170.0,626.0,0.2,2.0,0.02,0.2,0.0,4.0,1.0,12
Caldo De Pollo  Deshidratado En Cubitos,2.5,198,14.6,4.7,23.5,0.0,190.0,191.0,1.87,0.19,0.38,3.9,1.0,0.0,1.95,1.63,1.25,13.0,374.0,24000.0,0.2,56.0,0.1,0.3,0.0,32.0,1.0,12
Caldo De Pollo Deshidratado En Polvo,2.27,267,16.66,13.88,18.01,0.0,187.0,166.0,1.03,0.1,0.43,2.46,1.0,0.0,5.36,4.48,3.43,13.0,309.0,18586.0,0.09,56.0,0.1,0.3,0.0,32.0,1.0,12
Caldo De Pollo O Gallina,89.1,89,0.2,9.8,0.0,0.0,5.0,30.0,0.4,0.02,0.04,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Caldo De Res,92.4,40,1.2,2.4,3.3,0.0,14.0,46.0,0.9,0.05,0.06,0.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Caldo De Res Condensado Enlatado,92.6,24,4.37,0.0,1.44,0.0,7.0,26.0,0.43,0.02,0.02,0.58,1.0,0.0,0.0,0.0,0.0,0.0,125.0,520.0,0.3,0.0,0.02,0.0,0.0,2.0,1.0,12
Caldo De Res Deshidratado En Cubitos,3.3,170,17.3,4.0,16.1,0.0,60.0,225.0,2.23,0.2,0.24,3.3,0.0,0.0,1.67,0.16,1.99,4.0,403.0,24000.0,0.21,50.0,0.2,1.0,0.0,32.0,1.0,12
Caldo De Res Deshidratado En Polvo,3.27,238,15.97,8.89,23.65,0.0,60.0,320.0,1.0,0.07,0.24,4.47,0.0,0.0,3.62,0.33,4.32,10.0,446.0,16982.0,0.0,51.0,0.2,1.0,0.0,32.0,1.0,12
Mostaza Comercial,81.64,66,3.95,3.11,7.78,3.2,80.0,88.0,1.85,0.05,0.03,0.46,3.0,7.0,2.14,0.58,0.16,0.0,151.0,1120.0,0.6,38.0,0.07,0.0,0.0,8.0,1.0,12
Pasta O Spread Para Sandwich,40.8,389,0.9,34.0,22.4,0.4,14.0,26.0,0.2,0.01,0.02,0.01,0.0,22.0,7.4,20.0,5.1,76.0,35.0,1000.0,0.81,2.0,0.02,0.21,0.0,6.0,1.0,12
Salsa Envasada Barbacoa,80.9,75,1.8,1.8,12.8,1.2,19.0,20.0,0.9,0.03,0.02,0.9,7.0,1.0,0.77,0.68,0.27,0.0,174.0,815.0,0.2,18.0,0.08,0.0,0.0,4.0,1.0,12
Salsa Envasada De Soya,66.0,60,10.51,0.1,5.57,0.8,20.0,130.0,2.38,0.06,0.15,3.95,0.0,0.0,0.02,0.04,0.01,0.0,212.0,5586.0,0.43,40.0,0.2,0.0,0.0,18.0,1.0,12
Salsa Envasada Inglesa,78.54,67,0.0,0.0,19.46,0.0,107.0,60.0,5.3,0.07,0.13,0.7,13.0,5.0,0.0,0.0,0.0,0.0,800.0,980.0,0.19,13.0,0.0,0.0,0.0,8.0,1.0,12
Salsa Envasada Para Pescado,71.07,35,5.06,0.01,3.64,0.0,43.0,7.0,0.78,0.01,0.06,2.31,1.0,4.0,0.0,0.0,0.0,0.0,288.0,7720.0,0.2,175.0,0.4,0.48,0.0,51.0,1.0,12
Salsa Envasada Picante,89.98,11,0.51,0.37,1.75,0.3,8.0,11.0,0.48,0.04,0.08,0.25,75.0,8.0,0.03,0.2,0.05,0.0,144.0,2643.0,0.11,5.0,0.16,0.0,0.0,6.0,1.0,12
Salsa Envasada Tabasco,95.17,12,1.29,0.76,0.8,0.6,12.0,23.0,1.16,0.03,0.08,0.18,5.0,82.0,0.06,0.4,0.11,0.0,128.0,633.0,0.16,12.0,0.15,0.0,0.0,1.0,1.0,12
Salsa Envasada Tomate Catsup,69.15,97,1.74,0.38,25.08,0.3,18.0,33.0,0.51,0.01,0.47,1.5,15.0,47.0,0.06,0.15,0.05,0.0,382.0,1114.0,0.26,19.0,0.15,0.0,0.0,10.0,1.0,12
Salsa Procesada Sofrito,59.66,237,12.8,18.2,5.46,1.7,20.0,139.0,0.94,0.28,0.21,2.92,20.0,0.0,0.0,0.0,0.0,0.0,401.0,1145.0,1.41,25.0,0.36,0.0,0.0,43.0,1.0,12
Salsa Procesada Tomate C/Cebolla,86.09,42,1.56,0.19,9.94,1.8,17.0,39.0,0.93,0.07,0.13,1.24,13.0,43.0,0.03,0.08,0.03,0.0,413.0,551.0,0.23,19.0,0.27,0.0,0.0,22.0,1.0,12
Salsa Procesada Tomate C/Hongos,87.97,35,1.45,0.13,8.43,1.5,13.0,32.0,0.89,0.07,0.11,1.26,12.0,48.0,0.01,0.05,0.02,0.0,380.0,452.0,0.21,19.0,0.13,0.0,0.0,9.0,1.0,12
Salsa Procesada Tomate C/Queso,83.43,59,2.13,1.93,10.24,2.2,37.0,54.0,0.87,0.08,0.12,1.21,10.0,49.0,0.38,0.82,0.63,3.0,356.0,543.0,0.36,19.0,0.02,0.0,0.0,8.0,1.0,12
Salsa Procesada Tomate Para Spaghetti,76.8,105,1.7,3.9,16.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.87,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Salsa Procesada Tomate Estilo Ranchero,88.28,41,0.94,0.74,8.77,1.4,13.0,38.0,0.76,0.07,0.12,1.1,13.0,41.0,0.1,0.34,0.13,0.0,398.0,546.0,0.28,21.0,0.19,0.0,0.0,14.0,1.0,12
Sopa Condensada Enlat. Cebolla,86.35,46,3.06,1.42,6.68,0.7,22.0,9.0,0.55,0.03,0.02,0.49,1.0,3.0,0.61,0.53,0.21,0.0,56.0,860.0,0.5,2.0,0.04,0.0,0.0,12.0,1.0,12
Sopa Condensada Enlat. Frijol Negro,75.33,91,4.83,1.32,15.42,6.8,35.0,75.0,1.5,0.04,0.04,0.41,0.0,22.0,0.48,0.41,0.34,0.0,250.0,970.0,1.1,33.0,0.07,0.0,0.0,20.0,1.0,12
Sopa Condensada Enlat. Frijoles Con Cerdo,70.17,129,5.88,4.42,16.97,5.9,60.0,98.0,1.53,0.06,0.03,0.42,1.0,34.0,1.62,1.36,1.14,2.0,300.0,709.0,0.77,33.0,0.03,0.03,0.0,24.0,1.0,12
Sopa Condensada Enlat. Minestrone,82.95,68,3.48,2.05,9.17,0.8,28.0,46.0,0.75,0.04,0.04,0.77,1.0,85.0,0.56,0.91,0.44,1.0,255.0,744.0,0.6,6.0,0.08,0.0,16.0,40.0,1.0,12
Sopa Condensada Enlat. Pollo C/Arroz,88.4,49,2.0,1.6,6.8,0.6,11.0,46.0,0.2,0.04,0.04,1.73,27.0,49.0,0.65,0.3,0.5,6.0,169.0,338.0,0.24,5.0,0.05,0.09,23.0,44.0,1.0,12
Sopa Condensada  Enlat. Pollo Y Fideos,86.9,51,2.6,1.5,6.9,0.6,11.0,38.0,0.6,0.06,0.05,1.2,0.0,0.0,0.6,0.3,0.5,9.0,45.0,751.0,0.22,6.0,0.04,0.07,10.0,21.0,1.0,12
Sopa Condensada  Enlat. Res Y Fideos,84.42,67,3.85,2.46,7.16,0.6,12.0,37.0,0.88,0.05,0.05,0.85,0.0,11.0,0.99,0.39,0.91,4.0,79.0,759.0,1.23,5.0,0.03,0.16,12.0,23.0,1.0,12
Sopa Condensada  Enlat. Tomate,82.5,60,1.61,0.56,13.41,1.2,13.0,29.0,1.11,0.04,0.06,1.03,13.0,20.0,0.34,0.36,0.27,0.0,229.0,551.0,0.25,14.0,0.09,0.0,0.0,0.0,1.0,12
Sopa Condensada  Enlat. Vegetales Y Res,83.69,63,4.45,1.51,8.11,1.6,13.0,32.0,0.89,0.03,0.04,0.82,2.0,155.0,0.64,0.09,0.68,4.0,138.0,631.0,1.23,5.0,0.06,0.25,0.0,8.0,1.0,12
Sopa Condensada  Prep. C/Agua Cebolla,93.06,24,1.56,0.72,3.39,0.4,11.0,5.0,0.28,0.01,0.01,0.25,1.0,0.0,0.31,0.27,0.11,0.0,28.0,437.0,0.25,1.0,0.02,0.0,0.0,6.0,1.0,12
Sopa Condensada  Prep. C/Agua Frijoles Con Cerdo,84.16,68,3.12,2.35,9.01,3.4,32.0,52.0,0.81,0.04,0.01,0.22,1.0,18.0,0.86,0.72,0.6,1.0,159.0,376.0,0.41,18.0,0.02,0.02,0.0,13.0,1.0,12
Sopa Condensada  Prep. C/Agua Minestrone,91.33,34,1.77,1.04,4.66,0.4,14.0,23.0,0.38,0.02,0.02,0.39,1.0,49.0,0.29,0.46,0.23,1.0,130.0,378.0,0.31,3.0,0.04,0.0,8.0,21.0,1.0,12
Sopa Condensada  Prep. C/Agua Res Y Fideos,91.99,34,1.98,1.26,3.68,0.3,6.0,19.0,0.45,0.03,0.02,0.44,0.0,3.0,0.51,0.2,0.47,2.0,41.0,390.0,0.63,2.0,0.01,0.08,6.0,12.0,1.0,12
Sopa Condensada  Prep. C/Agua Tomate,90.36,35,0.84,0.79,6.8,0.2,5.0,14.0,0.72,0.04,0.02,0.58,27.0,10.0,0.18,0.39,0.15,0.0,108.0,285.0,0.1,3.0,0.05,0.0,0.0,6.0,1.0,12
Sopa Condensada  Prep. C/Agua Vegetales Y Res,91.61,32,2.29,0.78,4.17,0.2,7.0,17.0,0.46,0.01,0.02,0.42,1.0,39.0,0.33,0.05,0.35,2.0,71.0,324.0,0.63,2.0,0.03,0.13,0.0,4.0,1.0,12
Sopa Crema Condensada  Enlat. Cebolla,81.0,88,2.2,4.2,10.4,0.4,27.0,30.0,0.5,0.04,0.06,0.4,1.0,28.0,1.67,1.16,1.17,12.0,98.0,760.0,0.12,5.0,0.02,0.04,0.0,6.0,1.0,12
Sopa Crema Condensada  Enlat. Esparragos,84.05,69,1.82,3.26,8.52,0.4,23.0,31.0,0.64,0.04,0.06,0.62,2.0,26.0,0.75,1.46,0.82,4.0,138.0,782.0,0.7,3.0,0.01,0.04,0.0,19.0,1.0,12
Sopa Crema Condensada  Enlat. Hongos,83.85,85,1.61,5.89,6.72,0.0,12.0,26.0,1.11,0.04,0.05,0.42,0.0,8.0,1.11,1.43,1.38,0.0,62.0,645.0,0.2,4.0,0.0,0.0,0.0,2.0,1.0,12
Sopa Crema Condensada  Enlat. Papa,85.39,59,1.39,1.88,9.14,0.4,16.0,37.0,0.38,0.03,0.03,0.43,0.0,19.0,0.44,0.33,0.97,5.0,109.0,797.0,0.5,1.0,0.03,0.04,0.0,2.0,1.0,12
Sopa Crema Condensada  Enlat. Pollo,82.75,89,2.38,5.77,7.16,0.0,14.0,31.0,1.06,0.01,0.05,0.39,0.0,43.0,2.05,1.05,1.6,8.0,49.0,655.0,0.29,4.0,0.0,0.0,0.0,2.0,1.0,12
Sopa Crema Condensada  Prep. C/Agua Cebolla,90.5,44,1.13,2.16,5.2,0.4,14.0,15.0,0.26,0.02,0.03,0.21,1.0,6.0,0.86,0.6,0.6,6.0,49.0,380.0,0.06,2.0,0.01,0.02,0.0,3.0,1.0,12
Sopa Crema Condensada  Prep. C/Agua Esparragos,91.8,35,0.94,1.68,4.38,0.2,12.0,16.0,0.33,0.02,0.03,0.32,1.0,15.0,0.39,0.76,0.43,2.0,71.0,402.0,0.36,2.0,0.0,0.02,0.0,9.0,1.0,12
Sopa Crema Condensada  Prep. C/Agua Hongos,90.33,53,0.95,3.68,3.81,0.2,19.0,20.0,0.21,0.02,0.04,0.3,0.0,6.0,0.7,1.73,1.0,1.0,41.0,361.0,0.24,2.0,0.01,0.02,0.0,2.0,1.0,12
Sopa Crema Condensada  Prep. C/Agua Pollo,90.62,48,1.41,3.02,3.8,0.1,14.0,15.0,0.25,0.01,0.03,0.34,0.0,67.0,1.34,0.61,0.85,4.0,36.0,404.0,0.26,1.0,0.01,0.04,0.0,1.0,1.0,12
Sopa Crema Deshidratada  Esparragos,4.8,366,13.75,10.8,55.75,2.4,137.0,185.0,3.8,0.2,0.3,3.0,5.0,503.0,4.64,4.06,1.61,1.0,824.0,4980.0,4.2,18.0,0.05,0.2,0.0,46.0,1.0,12
Sopa Crema Deshidratada  Pollo,3.75,436,7.25,21.68,54.34,1.8,310.0,390.0,1.4,0.4,0.83,11.0,2.0,495.0,4.73,1.65,13.78,12.0,876.0,4820.0,6.0,24.0,0.22,1.0,0.0,22.0,1.0,12
Sopa Crema Deshidratada  Prep. C/Agua Esparragos,93.9,23,0.88,0.69,3.57,0.0,9.0,12.0,0.2,0.02,0.02,0.2,0.0,5.0,0.3,0.26,0.02,0.0,53.0,319.0,0.27,1.0,0.0,0.01,0.0,3.0,1.0,12
Sopa Crema Deshidratada  Prep. C/Agua Pollo,90.94,41,0.68,2.04,5.11,0.1,29.0,37.0,0.1,0.04,0.08,1.0,0.0,8.0,0.45,0.16,1.3,1.0,82.0,454.0,0.6,2.0,0.02,0.1,0.0,2.0,1.0,12
